Eksik Kutu İçi Adedi Bilgisi,Missing Box Quantity Information
Eksik Parametre,Missing Parameter
Eksik Süre (dk) [(Gün x {0}) - Net],Missing Time (min) [(Day x {0}) - Net]
Eksik Zorunlu Alan,Missing Required Field
Employee eşleşmesi bulunamadı. Lütfen Employee kayıtlarında user_id / company_email / personal_email alanlarını kontrol edin. User: {0},No matches found for Employee. Please check the user_id / company_email / personal_email fields in the Employee records. User: {0}
En az bir parametre eklemelisiniz.,You must add at least one parameter.
Enjeksiyon satır kimliği bulunamadı.,Injection row ID not found.
Enjeksiyon Ölçümü Düzenle,Add Injection Measurement
Enjeksiyon Ölçümü Ekle,Add Injection Measurement
Enjeksiyon Ölçümü Kopyala,Copy Injection Measurement
Enjeksiyon ölçüm satırı bulunamadı (rowname: {0}).,Injection measurement row not found (rowname: {0}).
Enjeksiyon ölçümü eklendi,Injection measurement added
Enjeksiyon ölçümü güncellendi,Injection measurement updated
Enjeksiyon ölçümü kopyalandı ve eklendi,Injection measurement copied and added
Enjeksiyon ölçümü silindi,Injection measurement deleted
Etiket,Ticket
Etiket (label) sağlanmalıdır.,Label must be provided.
Etiket kuyruğa alındı. Kısa süre içinde yazıcıdan çıkacaktır.,The tag is queued. It will come out of the printer in a short time.
Etiketler yazıcıya gönderildi.,The labels were sent to the printer.
Etiketler yazıcıya gönderiliyor...,Labels are sent to the printer...
Etiketleri Yeniden Bas,Reprint Labels
"Fatura tutarı ({0}) teslimat değerinden ({1}) büyük. Miktar güncellenmedi, Sipariş Kapatılacak.","The invoice amount ({0}) is greater than the delivery value ({1}). Quantity not updated, Order Will Be Closed."
Faturalandırılacak,Will be billed
Filtre Değeri,Filter Value
Filtreler yüklenirken bir hata oluştu.,An error occurred while loading filters.
GKK Bekliyor,GKK Pending
Gerekli parametreler eksik: ürün ve template,Required parameters missing: product and template
Geri,Back
Geçersiz Fiyat,Invalid Price
Geçersiz işlem tipi.,Invalid transaction type.
Geçersiz kalite kontrol durumu.,Invalid quality control status.
Geçersiz tarih: {0},Invalid date: {0}
Geçersiz yıl,Invalid year
Geçersiz İş Emri,Invalid Work Order
Geçersiz İş Emri Durumu,Invalid Work Order Status
Geçersiz İş Kartı,Invalid Job Card
Geçmiş tarihler için rapor çalıştırılamaz. {0} sonrası seçiniz.,Reports cannot be run for past dates. Select after {0}.
Gruplama Şekli,Grouping Type
Gönderim Engellendi,Submission Blocked
Görsel Kontroller,Visual Controls
Gösterilecek Operatör Sayısı,Number of Operators to Show
Göz Kontrol,Eye Check
Güncelle,Update
Güncelleme hatası: {0},Update error: {0}
Güncellenen SO,Updated SO
Güncellenme,Updated
Günlük Bakım Onayı,Daily Maintenance Approval
Günlük bakım kaydı oluşturuldu ve onaylandı.,Daily maintenance record created and approved.
Günlük bakımı talimata göre kontrol ettim ve sorun bulunmamıştır.,I checked the daily maintenance according to the instructions and no problems were found.
Hata,Mistake
Hatalar,Errors
Hazır,Ready
Hazırlayan Operatör,Prepared by Operator
Hedef Döviz,Target Currency
Henüz arıza bildirimi yapılmamış.,No malfunction has been reported yet.
Henüz bakım kaydı yok.,There are no maintenance records yet.
Hurda Düzenle,Edit Scrap
Hurda Ekle,Add Scrap
Hurda Nedeni,Reason for Scrap
Hurda Nedeni geçersiz. Lütfen listeden seçin.,Scrap Reason is invalid. Please select from the list.
Hurda eklendi,Scrap added
Hurda güncellendi,Scrap updated
Hurda kaydı yok.,There is no scrap record.
Hurda satır kimliği (row name) bulunamadı.,Scrap row id (row name) could not be found.
Hurda satırı bulunamadı (rowname: {0}).,Scrap row not found (rowname: {0}).
Hurda silindi,Scrap deleted
IDC satır kimliği (row name) bulunamadı.,IDC row name not found.
IDC Ölçümü Düzenle,Edit IDC Measurement
IDC Ölçümü Ekle,Add IDC Measurement
IDC Ölçümü Kopyala,Copy IDC Measurement
IDC ölçüm satırı bulunamadı (rowname: {0}).,IDC measurement row not found (rowname: {0}).
IDC ölçümü eklendi,IDC measurement added
IDC ölçümü güncellendi,IDC measurement updated
IDC ölçümü kopyalandı ve eklendi,IDC measurement copied and added
IDC ölçümü silindi,IDC measurement deleted
KTA,KTA
KTA Sevk Parametreleri'nde eşleşmeyen müşteri/adres kayıtları (ilk 10):<br><br>{0},Non-matching customer/address records in KTA Shipment Parameters (top 10):<br><br>{0}
Kablo ve Kontak Bilgileri,Cable and Contact Information
Kalite,Quality
Kalite Kontrol Gönderim Hatası {0},Quality Control Submission Error {0}
Kalite Muayene Formu,Quality Inspection Form
Kalite Ret Formu,Quality Rejection Form
Kalite Sorumlusu,Quality Officer
Kalite belgesi oluşturuldu ve onaylandı,Quality certificate created and approved
Kalite belgesi oluşturuldu ve reddedildi,Quality certificate created and rejected
Kalite durumu güncellendi,Quality status updated
Kalite kontrol belgesi olmadan reddetmek istediğinizden emin misiniz?,Are you sure you want to reject without quality control certificate?
Kalite Şablonu,Quality Template
Kalıp No,Mold No.
Kapalı,Closed
Kapasite Dengeleme Yapılsın mı?,Perform Capacity Balancing?
Kapatılan SO,Closed SO
Kart Sayısı,Number of Cards
Karşılaştırma için önceki Satış Siparişi Güncelleme kaydı bulunamadı (bu ilk kayıt).,No previous Sales Order Update record was found for comparison (this is the first record).
Karşılaştırma senkronizasyonu kuyruğa alındı.,Benchmark sync queued.
Karşılaştırma tamamlandı.,Comparison complete.
Karşılaştırma yapılıyor...,Comparison is being made...
Kaydediliyor...,Recording...
Kaydet,Save
Kaydet ve Onayla,Save and Submit
Kaydet ve Reddet,Save and Reject
Kayıt bulunamadı.,No record found.
Kayıt yok,No record
Kayıt yok.,No record.
Kontrol Periyodu,Control Period
Kopyalama başarısız.,Copy failed.
Kopyalandı,Copied
Krimp Book değerleri yüklendi,Krimp Book values ​​loaded
Krimp satır kimliği bulunamadı.,Crimp row ID not found.
Krimp Ölçümü Düzenle,Edit Crimp Measurement
Krimp Ölçümü Ekle,Add Crimp Measurement
Krimp Ölçümü Kopyala,Copy Crimp Measurement
Krimp ölçüm satırı bulunamadı (rowname: {0}).,Crimp measurement line not found (rowname: {0}).
Krimp ölçümü eklendi,Crimp measurement added
Krimp ölçümü güncellendi,Crimp measurement updated
Krimp ölçümü kopyalandı ve eklendi,Crimp measurement copied and added
Krimp ölçümü silindi,Crimp measurement deleted
Kritik hata: {0},Critical error: {0}
Kısayollar,Shortcuts
Kısmen Faturalandırıldı,Partially Billed
Log kaydını açmak için tıklayın.,Click to open the log record.
Lütfen KTA Çalışma Kartı Ayarları panelinden 'Hurda Gider Hesabı' bilgisini tanımlayın.,Please define the 'Scrap Expense Account' information from the KTA Work Card Settings panel.
Lütfen bakım kontrolünü onaylayın.,Please confirm the maintenance check.
Lütfen bir hurda nedeni seçin.,Please select a scrap reason.
Lütfen bir parça seçin.,Please select a piece.
Lütfen bir şablon seçin.,Please select a template.
Lütfen geçerli bir miktar girin.,Please enter a valid amount.
Lütfen makine seçin.,Please select machine.
MOQ Uyarısı,MOQ Notice
Makine Arıza Bildirimi,Machine Fault Notification
Makine Günlük Bakım,Machine Daily Maintenance
Makine No,Machine No.
Makine numarasını yazarak seçin (ör: M 1),Select by typing the machine number (ex: M 1)
Makine ve Kalıp,Machine and Mold
Makine:,Machine:
Miktar,Amount
Miktar:,Amount:
Motor Devir,Engine Speed
Mükerrer Kayıt,Duplicate Registration
Mükerrer Kayıt Engeli,Duplicate Registration Prevention
Müşteri,Customer
Müşteri Grubu,Customer Group
Müşteri Grubu seçildiğinde Üretim Sahası (Plant Floor) zorunludur.,Plant Floor is mandatory when Customer Group is selected.
Neden:,From where:
Net Dakika,Net Minutes
"Net Süre: {0}', [frm.doc.net_calisma_suresi]), 'cyan","Net Duration: {0}', [frm.doc.net_work_duration]), 'cyan"
Net Çalışma (dk),Net Work (min)
Not Açıklama,Note Description
Notlar (İsteğe Bağlı),Notes (Optional)
Numune Sayısı,Number of Samples
Oluştur,Create
Oluşturulan SO,Created SO
Oluşturulma,Creation
Onay,Approval
Onay Bekliyor,Pending Approval
Onayla ve Kaydet,Approve and Save
Onaylandı,Approved
Onaylayan,Approved by
Onaylıyorum,I approve
Operasyon,Operation
Operasyon zorunludur,Operation is mandatory
Operatör,Operator
Ortalama ({0}),Average ({0})
Parametreler,Parameters
Parametreler yükleniyor...,Loading parameters...
Parça Numarası,Part Number
Parça Numarası (Item) boş olamaz.,Part Number (Item) cannot be empty.
Periyot,Period
Proses Parametreleri,Process Parameters
QC güncelleme yetkiniz yok.,You do not have QC update authority.
Radüs Mevcut,Radius Available
Ramp-up (Önden Üretim) Yapılsın mı?,Should Ramp-up be done?
Ramp-up Süresi (Hafta),Ramp-up Time (Weeks)
Reddedildi,Rejected
Reddedilmiş çalışma kartında işlem yapılamaz.,Transactions cannot be made on a rejected work card.
SUT barkodu için etiket bulunamadı: {0},No label found for SUT barcode: {0}
SUT için Stok Defteri Kaydı bulunamadı: {0},No Stock Ledger Record found for SUT: {0}
Sadece Hazır durumundaki işlemler başlatılabilir.,Only processes in the Ready state can be started.
Sadece Teslim Edilmemişler,Just Not Delivered
Sadece Varsayılan Reçeteler (BOM),Only Default BOMs
Sadece durdurulmuş bir işlem devam ettirilebilir.,Only a stopped process can be resumed.
Sadece varsayılan reçeteleri (BOM) arar.,It only searches for default prescriptions (BOM).
Sadece ürün kartında varsayılan olarak tanımlanmış aktif reçeteleri listeler.,It only lists active recipes defined by default in the product card.
Satınalma Siparişi (Satınalma Siparişi) {0} için ERPNext'te Satış Siparişi bulunamadı. Manuel oluşturulmalı.,No Sales Order found in ERPNext for Purchase Order (Purchase Order) {0}. It must be created manually.
"Satınalma Siparişi (Satınalma Siparişi) {0}, Ürün {1} için yeni Satış Siparişi manuel oluşturulmalı.","Purchase Order (Purchase Order) {0}, new Sales Order for Product {1} must be created manually."
"Satınalma Siparişi (Satınalma Siparişi) {0}, Ürün {1} için yeni teslimat satırı eklenmelidir. Manuel işlem gerekli.","New delivery line should be added for Purchase Order (Purchase Order) {0}, Product {1}. Manual operation required."
"Satır {0} — <b>{1}</b>: Rate değeri <b>{2} {3}</b> kabul edilemez. Kaynak belgeden beklenen: <b>{4} {5}</b> (Sapma: %{6}, izin verilen: %{7}). Fiyatı düzeltin veya önce satın alma siparişini güncelleyin.","Row {0} — <b>{1}</b>: Rate value <b>{2} {3}</b> is unacceptable. Expected from source document: <b>{4} {5}</b> (Deviation: {6}%, allowed: {7}%). Correct the price or update the purchase order first."
Satır {0}: {1} için Taraf Tipi ve Taraf zorunludur,Side Type and Side are required for Row {0}: {1}
Satış Siparişi Güncelleme Listesi,Sales Order Update List
Satış Siparişi Güncelleme kaydı bulunamadı: {0},No Sales Order Update record found: {0}
Satış Siparişi Güncelleme referansı belirtilmedi.,No Sales Order Update reference specified.
Satış Siparişi Güncelleme seçilmedi.,Sales Order Update is not selected.
Satış Siparişi Güncelleme tarihi seçilmeden belge oluşturulamaz.,A document cannot be created without selecting the Sales Order Update date.
Satış Siparişi Güncelleme İşlemleri,Sales Order Update Transactions
Satış Siparişi içinde eşleşen ürün bulunamadı.,No matching products were found in the Sales Order.
Satış Siparişi senkronizasyonu kuyruğa alındı.,Sales Order sync is queued.
Satış Siparişinde hiç ürün yok.,There are no products in the Sales Order.
Satış Siparişleri güncelleniyor...,Sales Orders are being updated...
Satış Siparişlerini Senkronize Et,Sync Sales Orders
Satış siparişlerinde tedarik değerlendirilirken hata oluştu: {0},Error evaluating supply on sales orders: {0}
Sayım listeleri arka planda oluşturuluyor. İşlem tamamlandığında bildirim alacaksınız.,Count lists are created in the background. You will receive a notification when the process is completed.
Sayım listeleri oluşturuluyor...,Census lists are being created...
Senkronizasyon Sonucu,Synchronization Result
Senkronizasyon Tamamlandı,Synchronization Completed
Senkronizasyon kuyruğa alındı,Sync queued
Seç,Select
"Seçilen IDC kodu uygun değil. (item_group=120-IDC Connector veya 110-Connector, custom_ara_malzeme_grubu=HAMMADDE olmalı)","The selected IDC code is not appropriate. (item_group=120-IDC Connector or 110-Connector, custom_ara_malzeme_grubu=RAW MATERIAL)"
Seçilen depo bir grup olmalıdır,The selected repository must be a group
Seçilen hammadde ({0}) iş emri BOM'unda bu aşama için izin verilmiyor.,The selected raw material ({0}) is not allowed for this stage in the work order BOM.
Seçilen varlığın Makine No alanı dolu değil.,The Machine ID field of the selected entity is not filled.
Seçilen İş Emri bulunamadı: {0},Selected Work Order not found: {0}
Seçilen İş Kartı bulunamadı: {0},Selected Job Card not found: {0}
"Seçilen İş Kartı, seçtiğiniz İş Emri\'ne ait değil. Lütfen doğru kartı seçin.",The selected Job Card does not belong to the Work Order you selected. Please choose the correct card.
Sil,Delete
Silinen Satır (SO iptal edildi ve silindi),Deleted Row (SO canceled and deleted)
Silme Engeli,Deletion Block
Sistem kaydı olan '{0}' silinemez.,The system record '{0}' cannot be deleted.
Sistemde {0} numarasına sahip bir makine/varlık bulunamadı.,No machine/entity with number {0} was found in the system.
Stok Girişi için birden fazla Giriş Türü İşlem bulundu: {0},More than one Entry Type Transaction found for Stock Entry: {0}
Stok Uzlaştırma Panosu,Stock Reconciliation Dashboard
Süre:,Duration:
Sıfır Tüketimi Göster,Show Zero Consumption
Sınıflandırma,Classification
Tamamlanan Miktar,Quantity Completed
Tamamlanan miktar negatif olamaz.,The completed amount cannot be negative.
Tamamlanan miktar sayısal olmalıdır.,The amount completed must be numerical.
Tamamlandı,Completed
Tarih Aralığı,Date Range
Tarih:,History:
Taslak,Draft
Tedarik başlık belgesinde değerlendirme verisi bulunamadı,No evaluation data found in the procurement header document
Tedarik için bakiye bulunamadı: {0},No balance found for supply: {0}
Tek belge sonuca hakim,One document dominates the outcome
Tek depoda toplandı,Collected in one warehouse
Teslim edilen qty: {0},Delivered qty: {0}
Teslimat miktarına çekildi,Drawn to delivery quantity
Tolerans değerleri yüklendi,Tolerance values ​​loaded
"Toplam Duruş: {0}', [frm.doc.toplam_durus]), 'orange","Total Posture: {0}', [frm.doc.total_duration]), 'orange"
Toplu Oluştur,Create Bulk
Toplu Stok Uzlaştırması Tamamlandı,Bulk Stock Reconciliation Completed
Tüm Kalite Kontroller,All Quality Controls
Tüm Müşteriler,All Customers
"Tüm itemlar silindi, SO iptal edildi","All items deleted, SO canceled"
Tümü,All
Tümünü Ekle,Add All
Uyarı,Warning
Varsayılan Tedarikçi,Default Supplier
Varsayılan kalite kontrol planı başarıyla güncellendi,Default quality control plan updated successfully
Varsayılan plan güncellenirken hata oluştu: {0},Error updating default plan: {0}
Vazgeç,Cancel
Work Order üzerinde BOM bulunamadı (bom_no boş).,BOM was not found on the Work Order (bom_no is empty).
XLS dosyası bulunamadı: {0},XLS file not found: {0}
Yalnızca Ürün Bazlı Grupla,Only with Product Based Groups
Yazdırılacak IDC ölçümü yok.,There are no IDC measurements to print.
Yazdırılacak enjeksiyon ölçümü yok.,There are no injection measurements to print.
Yazdırılacak krimp ölçümü yok.,There are no crimp measurements to print.
Yazıcıya gönderiliyor...,Sending to printer...
Yeni Satır,New Line
Yeniden Bas,Reprint
Yukarıdan parametre ekleyin.,Add parameters from above.
Yükleniyor...,Loading...
"gr_number, label veya q_ref sağlanmalıdır.","Gr_number, label or q_ref must be provided."
için bir değer girmelisiniz.,You must enter a value for .
{0} '{1}' başka bir Çalışma Kartı ({2}) tarafından zaten kullanılmış.,{0} '{1}' has already been used by another Work Card ({2}).
{0} için varsayılan etiket şablonu seçilmemiş.,The default label template for {0} is not selected.
{0} işlemleri için etiket basımı aktif değildir.,Label printing is not active for {0} transactions.
{0} makinesi için sistemde 'Asset Maintenance' (Varlık Bakımı) kaydı bulunamadı. Lütfen önce bakım ekibini atayın.,No 'Asset Maintenance' record was found in the system for machine {0}. Please assign the maintenance team first.
{0}. satır için depo bulunamadı,{0}. No repository found for row
Çalışma Kartları,Work Cards
Çalışma Kartlarım,My Work Cards
Çalışma Kartı,Work Card
Çalışma Kartı bir İş Kartı (Job Card) ile bağlantılı değil.,The Work Card is not linked to a Job Card.
Çalışma Kartı henüz bitirilmemiş. Lütfen önce kartı bitirin.,Work Card has not been finished yet. Please finish the card first.
Çalışma Kartı üzerinde Work Order bulunamadı.,No Work Order was found on the Work Card.
"Çalışma Kartı, Makine No, Arıza Nedeni ve Açıklama alanları zorunludur.","Work Card, Machine Number, Fault Reason and Description fields are mandatory."
Çalışma kartı bulunamadı.,Work card not found.
Çalışıyor,In Process
Ölçümler,Measurements
Önce bir İş Emri seçin.,First select a Work Order.
Önceki Verilerle Karşılaştır,Compare with Previous Data
Özel Belgeler,Private Documents
Ürün,Product
Ürün Grubu,Product Group
Ürün Kodu,Product Code
Ürün Kodu boş olamaz.,Product Code cannot be empty.
Ürün Kodu zorunludur,Product Code is required
Ürün için müşteri paketleme miktarı bulunamadı: {0},Customer packaging quantity could not be found for the product: {0}
Ürün {0} için Minimum Sipariş Miktarı {1}. Satır miktarı {2}.,Minimum Order Quantity for Product {0} is {1}. Row quantity {2}.
Ürün:,Product:
Ürünleri Getir,Get Items
İade,Return
İade Düzenlendi,Refund Issued
İptal Edildi,Canceled
İptal edilmiş kartta işlem yapılamaz.,Transactions cannot be made on a canceled card.
İsim,Name
İstasyon,Station
İzin verilmiyor,Not permitted
İş Emri,Work Order
İş Emri Bulunamadı,Work Order Not Found
İş Emri Kapalı,Work Order Closed
İş Emri onaylanmamış (docstatus != 1).,Work Order not approved (docstatus != 1).
İş Emri tamamlanmış ve tolerans süresi dolmuş.,The Work Order has been completed and the tolerance period has expired.
İş Emri zorunludur,Work Order is required
İş Kartı,Job Card
İş Kartı Bulunamadı,Job Card Not Found
İş Kartı boş olamaz.,Job Card cannot be blank.
İş Kartı zorunludur,Job Card is required
İş emrinde bu aşama için izin verilen malzeme grubunda hammadde bulunamadı.,No raw materials were found in the material group allowed for this stage in the work order.
İş İstasyonu,Workstation
İş İstasyonu zorunludur,Workstation is required
İş İstasyonu zorunludur (Job Card veya wizard tarafından sağlanmalı).,Workstation is mandatory (must be provided by Work Card or wizard).
İşlem Başarılı,Transaction Successful
İşlem Kuyruğa Alındı,Transaction Queued
İşlem Tamamlandı,Transaction Completed
İşlem başarıyla bitirildi.,The process has been completed successfully.
İşlem başlatılacak.,The process will be started.
İşlem bitirilecek. Devam etmek istediğinizden emin misiniz?,The process will be completed. Are you sure you want to continue?
İşlem sırasında bir hata oluştu.,An error occurred during the operation.
İşlem tamamlandı. Şimdi kartı gönderebilirsiniz (Submit).,The process is completed. Now you can send the card (Submit).
İşlem yapılıyor...,Processing is in progress...
İşleme alındı,Processed
İşlemi bitmiş veya reddedilmiş karta müdahale edemezsiniz.,You cannot intervene in a card whose transaction has been completed or rejected.
İşlemin bitirilebilmesi için en az bir alt operasyon kaydı bulunmalıdır.,"In order for the operation to be completed, there must be at least one sub-operation record."
İŞLEMLER,Transactions
Şablon Seçiniz...,Please select a template...
Şirket zorunludur,Company is mandatory
Hurda,Scrap
Duruş Geçmişi,Downtimes
Hammadde No,Raw Material No
Ölçülen İletken Krimp Yük. (mm),Measured Conductor Crimp Height (mm)
Barkod,Barcode
Hedef Çekme Kuvveti (N),Target Pull Force (N)
Makine / Pres No,Machine / Press No
Soğutma Zamanı (sn),Cooling Time (sec)
Hedef Kablo Boyu (mm),Target Cable Length (mm)
Çapak Boyu (mm),Burr Length (mm)
Kablo Kesiti (Rehberden),Cable Cross-Section (From Guide)
Hammadde Enjeksiyon Zamanı (sn),Raw Material Injection Time (sec)
Kalite Belgesi,Quality Document
Krimp Ölçümleri,Crimp Measurements
Ara Hortum Isısı (°C),Intermediate Hose Temp (°C)
Sıyırma Boyu (mm),Strip Length (mm)
Hammadde Kazan Isısı (°C),Raw Material Boiler Temp (°C)
Hammadde (Opsiyonel),Raw Material (Optional)
Ölçülen Kablo Boyu (mm),Measured Cable Length (mm)
Hedef İletken Krimp Yük. (mm),Target Conductor Crimp Height (mm)
Sonuç,Result
KONTAK:,TERMINAL:
Depo,Warehouse
Soğuk Su Isısı (°C),Cold Water Temp (°C)
Kalite Kontrol,Quality Control
